"card_id","card_name","old_count","new_count","deck_delta_relation","rule_id","source_file","line_range","dependency_role","frozen_trigger","frozen_action_or_effect","v0_behavior","v1_requirement","v2_requirement","public_semantic_retained","evidence_status","notes"
"5","Basic {P} Energy","2","2","SHARED_UNCHANGED","P.TX.ACTIVE_PSYCHIC_KO","_cumulative_parent.py","2642-2737;2813-2861","KEEP","active unenergized Alakazam becomes exactly lethal after attach","attach; optional Telepath empty search; Powerful Hand","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","normally shadows integrated terminal attach"
"5","Basic {P} Energy","2","2","SHARED_UNCHANGED","P.TX.STRANDED_RETREAT","_cumulative_parent.py","3537-3914","KEEP","END or nonlethal active with lethal ready bench Alakazam","retreat; pay; promote; Powerful Hand","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"5","Basic {P} Energy","2","2","SHARED_UNCHANGED","P.TX.FEZ_BRIDGE","_cumulative_parent.py","3920-4325","KEEP","active Fez with paid retreat and exact continuity","retreat; pay; promote Alakazam; Powerful Hand","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"5","Basic {P} Energy","2","2","SHARED_UNCHANGED","P.SCORE.CARD.SHARED","_cumulative_parent.py","5911-6012","KEEP","switch setup search attach bench deck contexts","rank Alakazam line Duns engine and energies","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"5","Basic {P} Energy","2","2","SHARED_UNCHANGED","P.SCORE.ATTACH.S","_cumulative_parent.py","6172-6206","KEEP","legal energy attachment","rank retreat need Abra line and Duns draw","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"5","Basic {P} Energy","2","2","SHARED_UNCHANGED","I.PSYCHIC_READINESS","planner_final_policy.py","735-842;1274-1408","KEEP","parent END/attach consumption with exact H0 or unique H1","attach Basic/Telepath; optional search; attack or reserve","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"5","Basic {P} Energy","2","2","SHARED_UNCHANGED","I.TERMINAL_ATTACH","planner_policy.py","539-591;791-815","UNKNOWN","exact two-prize state and parent Enriching-to-bench","Basic to active; Powerful Hand; select two prizes","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","likely shadowed but not totally proven dead"
"13","Enriching Energy","1","1","SHARED_UNCHANGED","P.TX.HILDA_RESERVE","_cumulative_parent.py","557-801;6527-6552","KEEP","Hilda child with lone-active Dunsparce emergency","choose Enriching then active attach and reserve/Poffin/Pad","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","deleted tuple entries are inert"
"13","Enriching Energy","1","1","SHARED_UNCHANGED","P.TX.STRANDED_RETREAT","_cumulative_parent.py","3537-3914","KEEP","END or nonlethal active with lethal ready bench Alakazam","retreat; pay; promote; Powerful Hand","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"13","Enriching Energy","1","1","SHARED_UNCHANGED","P.TX.FEZ_BRIDGE","_cumulative_parent.py","3920-4325","KEEP","active Fez with paid retreat and exact continuity","retreat; pay; promote Alakazam; Powerful Hand","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"13","Enriching Energy","1","1","SHARED_UNCHANGED","P.MODEL.HAND","_cumulative_parent.py","5704-5751","MODIFY_IN_V1","estimate Powerful Hand after candidate action","project hand and counter count","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"13","Enriching Energy","1","1","SHARED_UNCHANGED","P.SCORE.CARD.SHARED","_cumulative_parent.py","5911-6012","KEEP","switch setup search attach bench deck contexts","rank Alakazam line Duns engine and energies","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"13","Enriching Energy","1","1","SHARED_UNCHANGED","P.SCORE.ATTACH.S","_cumulative_parent.py","6172-6206","KEEP","legal energy attachment","rank retreat need Abra line and Duns draw","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"13","Enriching Energy","1","1","SHARED_UNCHANGED","I.HILDA_ENRICHING","planner_policy.py","353-414;615-650","KEEP","Hilda energy child without H0/H1/Telepath target and safe draw","choose Enriching then active attach; verify draw four","inherited unchanged behavior","no package change unless named conflict requires compatibility","no generic v2 change planned","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"19","Telepath Psychic Energy","4","4","SHARED_UNCHANGED","P.TX.ACTIVE_PSYCHIC_KO","_cumulative_parent.py","2642-2737;2813-2861","KEEP","active unenergized Alakazam becomes exactly lethal after attach","attach; optional Telepath empty search; Powerful Hand","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","normally shadows integrated terminal attach"
"19","Telepath Psychic Energy","4","4","SHARED_UNCHANGED","P.TX.STRANDED_RETREAT","_cumulative_parent.py","3537-3914","KEEP","END or nonlethal active with lethal ready bench Alakazam","retreat; pay; promote; Powerful Hand","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"19","Telepath Psychic Energy","4","4","SHARED_UNCHANGED","P.TX.FEZ_BRIDGE","_cumulative_parent.py","3920-4325","KEEP","active Fez with paid retreat and exact continuity","retreat; pay; promote Alakazam; Powerful Hand","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
"19","Telepath Psychic Energy","4","4","SHARED_UNCHANGED","P.SCORE.CARD.SHARED","_cumulative_parent.py","5911-6012","KEEP","switch setup search attach bench deck contexts","rank Alakazam line Duns engine and energies","inherited unchanged behavior","no package change unless named conflict requires compatibility","eligible only for continuity hypothesis after v1 gate","NOT_APPLICABLE","STATIC_SOURCE_VERIFIED","NONE"
