order,family,style,deck_hash,deck_copy_status,policy_status,target_stage,notes
1,archaludon_metal,Shumpei current 54588240,4e2473ad9c24dbbab8888c5326e6679ef0e89157e6312457256ebc8346bdc574,complete,v6_seeded_ready,early_failure_analysis,"submission 54606772; latest CLI score 698.5 at 2026-07-13 07:09 JST; mature weak result below Bronze; v6 remains a prepared but low-priority probe"
2,alakazam_psychic,major variant A,2fb3a358e03c652bf2b6259ad0d47137116c599122d28d116799eb54c4150a3c,complete,v3_seeded_rejected,local_gate,"exact local copy verified; baseline 285/700; v2 283; v3 282; engineflow remains below local gate; keep separate from every other hash"
3,alakazam_psychic,major variant B,57050d2022e1a26f26930314459d130e8733d58795e72761f0b87d6f89bb4a1a,complete,simple_only,local_gate,"exact local copy verified; 5 Gold seats; independent holdout"
4,kangaskhan_crustle,MPGaming,90afb5a7dd6805ba5fdd048b227e0fdcbe7dc8516b2ba5016568461210df8be9,complete,v25_runtime_root_compat,live_failed_below_bronze,"submission 54626152; 28 public games, 14-14, score 591.2 at 2026-07-13 pre-Cynthia check; no repeated actionable Mega Lucario/Dragapult error; v13 rollback unsupported; v26 and v27 rejected; replace with validated Cynthia v3 probe"
5,cynthia_garchomp,nasuo445,1106a5674391397fb0f624f842d2e22261ef41a7af102a3b4e4e3fd58546a878,complete,v80_legal_complete_role_cycle_live_54695488,live_probe_pending,"submission 54695488 is the v80 proactive role-completion probe. v75 submission 54691310 settled near 661.9 and its forced-promotion rule triggered zero times in the first 20 public games. v80 completes Garchomp route, Roserade, second main line, and energized backup before ordinary non-KO attacks. Root-verified historical-Silver improved 148->183/600 and the six-agent population 271->293/480 with both seats positive and no opponent regression versus v75. Package SHA256 F5B7756804BA270B5CB1BED0CC1AAC6954CD48E0BA47C5BF08D22B9D976717C6; v75 is rollback."
6,marnie_grimmsnarl,Sota Uchiyama,e66f89f69b534f9923139877e1d1089e25a3d77a36630506acba7ea5ee2ba41d,complete,simple_only,local_gate,"Style-specific policy"
7,marnie_grimmsnarl,Gonsaku,e6b3dd205d1c862f7ebe731b9040e8382e57000507ba3f1bee2a47b7c2e3daf9,complete,simple_only,local_gate,"Style-specific independent holdout"
8,marnie_grimmsnarl,Kazuki,d256df2c0c2b0008d003b467538b4f9a688d61a858c040f16b8aa5664fa072a9,complete,simple_only,local_gate,"Prize retreat and heal order"
9,marnie_grimmsnarl,tw_shin,bd7cf5a519f27cf276f9c6aec17d916b653d5d229866487a00a3f6585d385a9e,complete,simple_only,local_gate,"Style-specific policy including Crustle matchup"
10,okidogi_barbaracle,btk15049,bcd9a7fb5655ef37ce50108c53ce0918848a01e002f6d61f329909af0e42bb8b,complete,simple_only,local_gate,"exact local copy verified; attacker continuity and Barbaracle order remain to be modeled"
11,kangaskhan_crustle,Alberto Bonsanto,7c1af5a04dee97680b6448337595eae4839c972148cc8da87d7d8b10fa4243d6,complete,simple_only,local_gate,"exact local copy verified; independent Kangaskhan/Crustle variant"
12,alakazam_psychic,Michael Long,77feb703512d5e6286f7a7cff8453f98021a2cd57d0f597a818f18a24db30de6,complete,simple_only,local_gate,"exact local copy verified; minor one-seat variant"
13,alakazam_psychic,THIRD PTCG A,889dfdc6bf51e10450308966719a75d21023130d6c10b5a45aee1a8948290a33,complete,simple_only,local_gate,"exact local copy verified; do not merge with THIRD PTCG B"
14,alakazam_psychic,THIRD PTCG B,9c77ed610552d734f4fe329de20cb447a625a858bb0f416009c81755ce41edf0,complete,simple_only,local_gate,"exact local copy verified; do not merge with THIRD PTCG A"
15,alakazam_psychic,capbloo,edc3cef70e22e7c84f3d5212e0d4746645c2c035fcbbd4bc27ebb9d1c8d3792d,complete,simple_only,local_gate,"exact local copy verified; minor one-seat variant"
16,archaludon_metal,Shumpei catalog,4e2473ad9c24dbbab8888c5326e6679ef0e89157e6312457256ebc8346bdc574,complete,simple_only,local_gate,"Same 60 cards; preserve older policy snapshot separately"
