"rule_id","source_file","line_range","function_or_site","card_ids","deck_relation","trigger","action_or_effect","priority","fallback_relation","shared_51_relation","deleted_9_relation","added_9_relation","saved_state_fire_count","matchup_fire_counts","fire_win_loss","conflicting_rules","classification","evidence_status","notes"
"RT.DECK_RETURN","_cumulative_parent.py","5511-5515","_exact_prize_lane_live_parent_agent","ALL_60","WHOLE_DECK","observation has no select","return exact deck.csv ordering","runtime","none","applies","NOT_APPLICABLE","deck replacement","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","NONE","PORT_ONLY","STATIC_SOURCE_VERIFIED","v0 must return the new exact deck"
"RT.PARITY_PLACEHOLDER","planner_placeholder_gate_final.py","32-82","agent","ALL","ALL","raw/parsed mismatch or unowned placeholder","reset planner and use cached or one parent call","outermost gate","invalid to emergency","preserve","NOT_APPLICABLE","NOT_APPLICABLE","632_CURRENT42_PLACEHOLDER_CALLBACKS","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","RT.DUP_CACHE;RT.EMERGENCY_LOWEST","KEEP","STATIC_SOURCE_VERIFIED","live transaction bypasses placeholder shortcut"
"RT.DUP_CACHE","planner_duplicate_final.py;planner_policy.py","12-28;870-872","duplicate agent/cache","ALL","ALL","identical public snapshot","return validated cached semantic action","before parent reinvocation","invalid cache to parent","preserve","NOT_APPLICABLE","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","RT.PARITY_PLACEHOLDER","KEEP","STATIC_SOURCE_VERIFIED","duplicate must not mutate parent state"
"RT.PARENT_ONCE_ROLLBACK","planner_policy.py","859-911","agent","ALL","ALL","normal owned callback","call parent once; transaction may override and roll back parent state","after exactness gates","pass/abort/complete returns parent","preserve","NOT_APPLICABLE","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","I.ARBITER_OBJECTIVE;P.TX.PRECEDENCE","KEEP","STATIC_SOURCE_VERIFIED","core parent-once contract"
"RT.EMERGENCY_LOWEST","planner_policy.py","845-856","_emergency_lowest_legal","ALL","ALL","structural exception or invalid parent action","choose lowest legal indices or deck","last resort","none","preserve","NOT_APPLICABLE","NOT_APPLICABLE","0_CURRENT42","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","RT.PARITY_PLACEHOLDER","KEEP","STATIC_SOURCE_VERIFIED","first-legal fallback metric source"
"GATE.EXACTNESS","planner_option_resolution_final.py;planner_prize_option_final.py;planner_ability_options_v2.py;planner_semantics_final.py;planner_outcome_failclosed_final.py;planner_snapshot_serial_final.py;planner_placeholder_final.py","multiple","collective exactness gates","ALL_PUBLIC","ALL","ambiguous owner option serial outcome or modifier","reject override and retain parent action","before strategy override","parent action","preserve","1264 remains public evidence","1266 requires explicit allowlists","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.TX.EXACT_PRIZE_LANE;I.ACTIVE_DUDUN_KO","KEEP","STATIC_SOURCE_VERIFIED","validators grouped operationally"
"P.TX.PRECEDENCE","_cumulative_parent.py","5556-5702;6298-6564","live-parent dispatcher","ALL","ALL","normal callback or live transaction","advance Ash Teleport retreat Fez Hilda psychic before score/start guards","parent transaction order","later scores and starts","preserve","NOT_APPLICABLE","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","all P.TX rules","KEEP","STATIC_SOURCE_VERIFIED","exact order is behaviorally significant"
"P.TX.HILDA_RESERVE","_cumulative_parent.py","557-801;6527-6552","_enriching_reserve_overlay/latch","1225;13;305;741;1086;1152;343;140;858;142","S_PLUS_D","Hilda child with lone-active Dunsparce emergency","choose Enriching then active attach and reserve/Poffin/Pad","live transaction","delegate or abort to parent","shared core","858;142 inert in v0","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","I.HILDA_ENRICHING","KEEP","STATIC_SOURCE_VERIFIED","deleted tuple entries are inert"
"P.TX.ACTIVE_PSYCHIC_KO","_cumulative_parent.py","2642-2737;2813-2861","_start/_continue_active_psychic_immediate_ko","743;5;19","S_PLUS_COPY","active unenergized Alakazam becomes exactly lethal after attach","attach; optional Telepath empty search; Powerful Hand","before integrated terminal attach","resolution parent-owned","preserve","NOT_APPLICABLE","743 count 3 to 4 automatic","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","I.TERMINAL_ATTACH","KEEP","STATIC_SOURCE_VERIFIED","normally shadows integrated terminal attach"
"P.TX.GUARDED_TELEPORT","_cumulative_parent.py","2196-2553","_start/_continue_guarded_teleportation_continuity","741;1264;142;1184;1197;1266","S_D_A","final parent retreat from energized Abra with exact promotion","replace retreat with Teleportation and frozen promotion","live transaction","certificate rejects to parent","741 path preserved","1264;142 old allowlist","new PLAY options currently disable certificate","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.SCORE.PLAY_ADDED_FALLTHROUGH","MODIFY_IN_V1","STATIC_SOURCE_VERIFIED","extend exact allowlist deliberately"
"P.TX.STRANDED_RETREAT","_cumulative_parent.py","3537-3914","_start/_continue_stranded_retreat_ko_bridge","741;742;743;5;19;13","S51","END or nonlethal active with lethal ready bench Alakazam","retreat; pay; promote; Powerful Hand","live transaction","abort to parent","preserve","NOT_APPLICABLE","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.TX.FEZ_BRIDGE","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"P.TX.FEZ_BRIDGE","_cumulative_parent.py","3920-4325","_start/_continue_fez_ko_bridge","140;743;5;19;13","S51","active Fez with paid retreat and exact continuity","retreat; pay; promote Alakazam; Powerful Hand","live transaction","abort to parent","preserve","NOT_APPLICABLE","NOT_APPLICABLE","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.TX.STRANDED_RETREAT","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"P.TX.ZERO_DECK_ASH","_cumulative_parent.py","5131-5204;5315-5405","_turn_guard_zero_deck_sacred_ash_action/continuation","1129;741;742;743","S51","deck zero and parent chose nonterminal attack","Sacred Ash; restore first legal recoverables","before other turn guards","verification failure to parent","preserve","NOT_APPLICABLE","fourth 743 changes available count","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","P.GUARD.H0_H1","KEEP","STATIC_SOURCE_VERIFIED","NONE"
"P.TX.EXACT_PRIZE_LANE","_cumulative_parent.py","7140-7753","_exact_prize_lane_build_plan/advance/wrapper","1182;743;1264;1266","S_D_A","exact active or bench terminal prize route","attack or Boss unique target then Powerful Hand","parent latch above integrated plans","suppress inferior Boss; else parent","preserve","1264 sole stadium allowlist","Boss +1; own 1266 disables current gate","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","UNKNOWN_NOT_INSTRUMENTED","I.ARBITER_OBJECTIVE;P.GUARD.H0_H1","MODIFY_IN_V1","STATIC_SOURCE_VERIFIED","Nighttime Mine must be handled explicitly"
